season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
3,1,7,22,0,4,1,3,0.66,0.5909,0.89,0.2537,6,62,68
4,0,11,10,0,0,0,1,0.36,0.3636,0.66,0.0896,76,186,262
3,1,7,22,0,3,1,1,0.7,0.6515,0.58,0.1343,55,223,278
3,0,8,12,0,4,1,1,0.78,0.6818,0.31,0.2537,50,164,214
2,1,5,20,0,6,0,1,0.68,0.6364,0.41,0.0896,118,197,315
1,0,2,2,0,6,0,1,0.22,0.19699999999999998,0.6,0.3582,3,9,12
2,1,6,3,0,1,1,2,0.56,0.5303,0.6,0.1642,0,5,5
3,0,8,0,0,3,1,1,0.6,0.5909,0.69,0.0,8,24,32
2,1,5,5,0,6,0,1,0.46,0.4545,0.67,0.0,1,11,12
4,1,10,17,0,1,1,1,0.62,0.6212,0.33,0.1045,84,838,922
4,1,11,15,0,3,1,1,0.36,0.3333,0.43,0.2836,32,228,260
1,1,2,14,0,6,0,1,0.44,0.4394,0.35,0.3582,183,244,427
3,0,8,15,0,0,0,1,0.74,0.6970000000000001,0.66,0.19399999999999998,128,203,331
3,0,7,11,0,2,1,1,0.82,0.8029999999999999,0.59,0.0,29,98,127
2,1,5,14,0,6,0,1,0.72,0.6515,0.3,0.0896,361,369,730
4,0,11,23,0,5,1,1,0.32,0.303,0.49,0.3284,17,72,89
4,0,10,0,0,5,1,1,0.4,0.4091,0.62,0.2537,8,42,50
3,0,9,23,0,4,1,3,0.62,0.5152,1.0,0.0896,0,26,26
2,1,5,14,0,5,1,1,0.62,0.6061,0.23,0.2239,116,218,334
3,0,8,6,0,5,1,1,0.62,0.5606,0.88,0.0,5,100,105
2,0,5,13,0,0,0,1,0.62,0.5909,0.73,0.2836,195,261,456
1,1,2,4,0,6,0,1,0.24,0.2576,0.81,0.0896,1,5,6
2,1,5,0,0,1,1,2,0.52,0.5,0.77,0.1343,13,21,34
3,1,8,0,0,3,1,1,0.66,0.6212,0.69,0.0,8,39,47
2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.19399999999999998,39,145,184
2,0,6,2,0,4,1,1,0.6,0.6212,0.56,0.0896,1,4,5
2,0,5,17,0,5,1,1,0.74,0.6818,0.58,0.3881,77,414,491
4,1,11,21,0,6,0,1,0.4,0.4091,0.66,0.0,51,169,220
4,0,11,22,0,2,1,2,0.46,0.4545,0.88,0.1045,19,109,128
4,0,10,9,0,3,1,1,0.54,0.5152,0.6,0.2985,32,187,219
3,0,9,11,0,3,1,2,0.62,0.5758,0.83,0.1642,42,138,180
2,1,5,5,0,6,0,1,0.62,0.5758,0.83,0.2537,0,10,10
3,0,9,5,0,3,1,2,0.56,0.5303,1.0,0.1343,1,15,16
2,1,4,11,0,2,1,1,0.48,0.4697,0.23,0.0,91,167,258
4,1,12,7,0,5,1,3,0.28,0.2727,0.81,0.1642,3,212,215
1,1,3,9,0,2,1,2,0.54,0.5152,0.88,0.1642,41,284,325
2,1,4,20,0,1,1,1,0.5,0.4848,0.36,0.4478,21,255,276
1,1,1,17,0,1,1,1,0.36,0.3485,0.21,0.19399999999999998,16,422,438
1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
2,1,3,5,0,5,1,1,0.32,0.3333,0.61,0.0896,0,26,26
2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,258,323,581
4,1,12,11,0,1,1,2,0.4,0.4091,0.87,0.0896,22,148,170
1,1,2,17,0,3,1,2,0.4,0.4091,0.87,0.1642,7,246,253
3,0,7,11,0,5,1,1,0.9,0.8939,0.5,0.1045,23,86,109
2,1,6,1,0,5,1,1,0.56,0.5303,0.56,0.1642,4,25,29
1,1,1,21,0,1,1,2,0.26,0.2424,1.0,0.2836,8,112,120
1,0,12,19,0,6,0,1,0.3,0.3182,0.52,0.0896,1,24,25
1,1,2,16,0,4,1,1,0.34,0.3333,0.36,0.0,15,223,238
3,0,8,21,0,5,1,1,0.7,0.6515,0.65,0.19399999999999998,54,119,173
2,1,4,22,0,4,1,1,0.52,0.5,0.83,0.1642,20,163,183
1,0,3,20,0,3,1,2,0.42,0.4242,0.54,0.2985,10,111,121
1,1,12,11,1,2,0,1,0.3,0.3182,0.75,0.0896,43,43,86
1,0,3,20,0,2,1,1,0.3,0.3182,0.61,0.0896,2,86,88
3,1,7,0,0,3,1,2,0.66,0.6061,0.83,0.1343,6,38,44
1,0,2,5,0,4,1,2,0.12,0.1212,0.5,0.2239,0,6,6
1,0,2,1,0,5,1,1,0.1,0.1364,0.54,0.0896,1,6,7
4,0,12,11,0,4,1,1,0.34,0.3182,0.49,0.2537,7,95,102
1,0,3,13,0,2,1,1,0.32,0.3485,0.39,0.0,13,65,78
2,0,3,0,0,0,0,2,0.26,0.2576,0.41,0.1642,5,26,31
4,1,11,21,0,0,0,1,0.44,0.4394,0.67,0.2239,44,127,171
2,0,3,16,0,2,1,1,0.5,0.4848,0.42,0.1045,40,125,165
1,0,3,6,0,4,1,1,0.32,0.3182,0.76,0.19399999999999998,4,47,51
2,0,5,2,1,1,0,1,0.64,0.5606,0.94,0.19399999999999998,17,28,45
2,1,4,0,0,5,1,1,0.48,0.4697,0.67,0.1045,5,59,64
3,0,9,21,0,1,1,2,0.56,0.5303,0.68,0.1642,19,181,200
3,0,9,6,0,5,1,2,0.62,0.5152,1.0,0.1343,3,54,57
4,0,12,10,0,0,0,1,0.32,0.3333,0.81,0.1343,36,180,216
3,1,8,18,0,0,0,2,0.64,0.5909,0.78,0.1045,86,291,377
1,1,3,0,0,0,0,2,0.4,0.4091,0.3,0.3582,5,67,72
2,1,5,18,0,2,1,1,0.68,0.6364,0.61,0.1343,76,709,785
2,1,4,19,0,0,0,1,0.6,0.6061,0.23,0.3881,89,187,276
2,1,5,21,0,2,1,2,0.64,0.6061,0.65,0.2836,21,202,223
1,0,3,19,0,5,1,1,0.3,0.2727,0.56,0.3284,7,111,118
2,1,5,17,0,0,0,1,0.78,0.7121,0.49,0.2985,275,247,522
1,1,12,6,0,1,1,1,0.2,0.2576,0.75,0.0,1,16,17
1,0,2,22,0,4,1,3,0.34,0.3182,0.87,0.2836,5,50,55
4,1,11,4,0,3,1,1,0.22,0.2273,0.69,0.19399999999999998,0,6,6
2,1,5,18,0,3,1,1,0.74,0.6667,0.48,0.1642,50,746,796
4,1,11,18,0,0,0,1,0.26,0.2576,0.44,0.1642,9,132,141
4,0,9,18,0,5,1,1,0.58,0.5455,0.49,0.3582,62,449,511
4,1,11,2,0,0,0,1,0.32,0.3333,0.87,0.1045,12,58,70
2,0,5,7,0,0,0,2,0.62,0.5606,0.88,0.2537,13,17,30
3,0,9,4,0,5,1,1,0.4,0.4091,0.71,0.2836,1,3,4
4,1,11,14,0,0,0,1,0.4,0.4091,0.4,0.19399999999999998,149,360,509
2,0,6,18,0,0,0,1,0.7,0.6515,0.58,0.1045,124,239,363
4,1,10,10,0,0,0,2,0.48,0.4697,0.51,0.4179,120,314,434
3,0,7,15,0,5,1,1,0.96,0.8636,0.3,0.2537,40,129,169
1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
2,1,5,15,0,2,1,2,0.7,0.6515,0.61,0.0896,51,205,256
4,1,10,12,0,3,1,1,0.54,0.5152,0.56,0.2239,78,312,390
2,0,4,14,0,3,1,1,0.68,0.6364,0.74,0.2836,29,119,148
3,1,9,23,0,5,1,1,0.66,0.5909,0.89,0.2537,28,220,248
2,0,4,5,0,4,1,2,0.42,0.4242,0.54,0.5522,0,14,14
1,1,2,1,0,0,0,2,0.32,0.303,0.39,0.2537,10,62,72
3,1,9,5,0,6,0,1,0.58,0.5455,0.6,0.5224,1,15,16
1,1,3,13,0,6,0,1,0.44,0.4394,0.51,0.2836,87,252,339
4,1,11,17,0,1,1,1,0.34,0.3182,0.46,0.2239,34,604,638
3,0,9,22,0,2,1,1,0.56,0.5303,0.94,0.0,23,125,148
3,1,9,22,0,3,1,1,0.5,0.4848,0.63,0.0896,31,198,229
3,1,9,20,0,4,1,1,0.62,0.6061,0.69,0.1045,55,408,463
4,0,10,7,0,1,1,2,0.5,0.4848,0.55,0.1642,10,299,309
1,1,12,15,0,5,1,2,0.3,0.3182,0.49,0.0,74,151,225
1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44
2,0,4,20,0,0,0,1,0.52,0.5,0.36,0.19399999999999998,44,97,141
2,1,4,18,0,5,1,1,0.5,0.4848,0.22,0.4627,104,380,484
4,0,12,5,0,6,0,1,0.26,0.2576,0.6,0.1642,0,6,6
4,1,12,22,0,2,1,1,0.3,0.2879,0.56,0.2239,6,100,106
3,1,7,8,1,3,0,1,0.7,0.6515,0.61,0.1045,43,110,153
3,0,8,4,0,6,0,2,0.6,0.5455,0.88,0.0,1,6,7
4,1,11,17,0,0,0,2,0.38,0.3939,0.66,0.2537,48,232,280
3,1,7,20,0,1,1,2,0.74,0.6818,0.55,0.1045,69,378,447
2,0,4,8,0,0,0,1,0.38,0.3939,0.46,0.3881,7,36,43
4,0,11,14,0,2,1,3,0.42,0.4242,1.0,0.0896,4,31,35
2,0,5,2,0,1,1,1,0.5,0.4848,1.0,0.0896,4,9,13
3,1,8,17,0,3,1,1,0.8,0.7424,0.49,0.1642,103,734,837
3,0,7,20,0,2,1,1,0.8,0.7273,0.46,0.2537,47,243,290
3,0,7,18,0,6,0,1,0.88,0.7576,0.28,0.19399999999999998,92,207,299
3,0,8,11,0,4,1,1,0.76,0.7121,0.58,0.2537,44,97,141
1,1,1,1,0,0,0,2,0.16,0.1364,0.47,0.2985,2,40,42
3,0,8,2,0,4,1,2,0.66,0.5909,0.94,0.0896,2,5,7
2,0,5,15,0,6,0,1,0.6,0.6212,0.38,0.2537,148,230,378
2,0,6,9,0,4,1,1,0.84,0.7879,0.49,0.0,20,148,168
4,1,11,6,0,6,0,1,0.24,0.2121,0.44,0.2836,1,9,10
3,0,7,4,0,6,0,1,0.62,0.6061,0.61,0.0,3,8,11
3,0,6,21,0,4,1,1,0.7,0.6667,0.74,0.19399999999999998,46,188,234
2,0,3,13,0,6,0,1,0.32,0.303,0.33,0.2239,94,145,239
2,0,5,7,0,3,1,3,0.34,0.303,0.93,0.3582,6,46,52
3,1,7,11,0,1,1,1,0.84,0.7273,0.28,0.2985,67,134,201
2,0,3,18,0,6,0,2,0.32,0.3182,0.21,0.1642,64,89,153
4,1,9,17,0,1,1,1,0.58,0.5455,0.3,0.0,89,809,898
3,0,7,4,1,1,0,2,0.66,0.6061,0.78,0.0896,8,4,12
1,0,12,23,0,6,0,1,0.36,0.3788,0.66,0.0,4,27,31
2,0,4,5,0,5,1,1,0.46,0.4545,0.47,0.1343,0,25,25
3,0,7,20,0,4,1,1,0.84,0.8939,0.71,0.2239,38,199,237
2,0,4,15,0,3,1,1,0.52,0.5,0.32,0.3284,34,83,117
3,0,8,17,0,4,1,3,0.8,0.7273,0.46,0.2985,44,365,409
2,0,5,14,0,5,1,1,0.6,0.6212,0.4,0.4478,86,127,213
2,0,5,10,0,3,1,3,0.54,0.5152,0.88,0.2836,33,73,106
4,1,12,6,0,0,0,2,0.24,0.2424,0.93,0.1343,1,15,16
2,0,6,5,0,3,1,1,0.62,0.5606,0.88,0.0,0,21,21
3,1,7,16,0,6,0,1,1.0,0.8636,0.19,0.1642,102,192,294
3,1,8,0,0,1,1,1,0.62,0.5758,0.83,0.0,4,28,32
3,1,8,15,0,2,1,1,0.82,0.7273,0.34,0.2985,59,258,317
4,1,12,6,0,1,1,2,0.38,0.3939,0.94,0.1642,2,121,123
4,1,10,1,0,2,1,1,0.44,0.4394,0.67,0.19399999999999998,4,9,13
3,0,6,7,0,3,1,1,0.7,0.6667,0.79,0.0,23,288,311
2,1,5,19,0,4,1,1,0.7,0.6515,0.61,0.19399999999999998,55,467,522
4,1,12,15,0,4,1,1,0.36,0.3485,0.34,0.1343,40,240,280
4,1,10,17,0,5,1,3,0.62,0.6061,0.69,0.3582,48,377,425
3,0,7,14,1,1,0,1,0.8,0.7273,0.46,0.0,235,173,408
3,0,9,16,0,0,0,2,0.56,0.5303,0.64,0.1642,134,235,369
3,1,9,13,1,1,0,2,0.76,0.7273,0.66,0.2537,209,357,566
3,0,9,22,0,6,0,1,0.5,0.4848,0.72,0.2239,31,112,143
2,1,6,18,0,1,1,1,0.64,0.6212,0.38,0.3881,103,719,822
1,1,1,2,0,1,1,2,0.18,0.2121,0.86,0.1045,0,2,2
1,0,2,19,0,2,1,2,0.24,0.2424,0.81,0.1343,3,105,108
4,0,9,19,0,5,1,1,0.62,0.5455,0.94,0.1343,16,232,248
1,0,3,5,0,6,0,1,0.22,0.2273,0.69,0.19399999999999998,0,2,2
1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5
3,1,9,22,0,6,0,2,0.66,0.5909,0.89,0.0,21,57,78
4,0,11,21,0,2,1,1,0.4,0.4091,0.76,0.0,16,166,182
4,1,10,7,0,4,1,2,0.64,0.5758,0.89,0.0896,12,379,391
1,1,3,0,0,4,1,1,0.54,0.5152,0.49,0.1343,14,46,60
1,1,2,13,0,2,1,1,0.34,0.303,0.49,0.4179,8,123,131
2,0,5,17,0,2,1,1,0.84,0.8029999999999999,0.53,0.2239,67,428,495
1,1,1,21,1,1,0,1,0.28,0.2576,0.52,0.3284,3,46,49
2,0,3,15,0,2,1,1,0.5,0.4848,0.42,0.2239,55,79,134
2,0,5,23,0,6,0,1,0.64,0.5758,0.83,0.19399999999999998,44,81,125
1,0,2,23,0,3,1,1,0.22,0.2576,0.55,0.0896,1,38,39
4,1,10,15,0,4,1,1,0.52,0.5,0.34,0.1642,102,358,460
3,0,6,3,0,5,1,1,0.66,0.6061,0.83,0.1642,1,4,5
3,1,9,19,0,6,0,3,0.58,0.5455,0.88,0.1045,28,187,215
1,1,2,11,0,6,0,2,0.24,0.2576,0.81,0.1045,26,157,183
1,1,1,6,0,3,1,1,0.2,0.2121,0.86,0.1343,2,72,74
4,1,10,12,1,1,0,2,0.42,0.4242,0.63,0.1642,74,267,341
1,0,2,5,0,1,1,1,0.2,0.2576,0.86,0.0,1,9,10
3,0,8,7,0,6,0,2,0.7,0.6667,0.84,0.3582,2,26,28
3,0,9,5,0,3,1,2,0.54,0.5152,1.0,0.1642,1,30,31
4,1,11,19,0,5,1,1,0.32,0.3485,0.66,0.0,18,359,377
4,1,11,2,0,5,1,1,0.26,0.2879,0.75,0.0896,1,4,5
3,1,7,19,0,0,0,1,0.72,0.7121,0.84,0.2239,109,203,312
2,1,6,10,0,4,1,1,0.6,0.6061,0.64,0.0896,56,154,210
1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
2,0,5,9,0,5,1,2,0.5,0.4848,0.88,0.19399999999999998,18,215,233
3,0,9,22,0,6,0,1,0.64,0.5909,0.78,0.0,49,126,175
4,0,10,0,0,0,0,1,0.46,0.4545,0.88,0.0896,46,83,129
3,0,7,5,0,5,1,1,0.74,0.7121,0.79,0.1045,2,17,19
4,0,10,11,0,3,1,1,0.52,0.5,0.59,0.3284,23,132,155
2,0,5,18,0,1,1,1,0.62,0.6212,0.38,0.2985,66,458,524
3,0,7,18,0,5,1,1,0.92,0.8636,0.37,0.3284,49,313,362
2,1,4,21,0,1,1,3,0.48,0.4697,0.41,0.4179,14,151,165
3,1,8,8,0,5,1,1,0.72,0.6818,0.7,0.1343,32,636,668
4,0,12,15,0,6,0,1,0.28,0.2576,0.45,0.2836,33,195,228
2,1,3,4,0,4,1,2,0.48,0.4697,1.0,0.0896,0,6,6
4,0,10,19,0,3,1,3,0.54,0.5152,0.94,0.1343,7,102,109
1,1,2,3,0,5,1,1,0.26,0.2879,0.56,0.0896,0,5,5
3,0,6,10,0,5,1,1,0.8,0.7273,0.43,0.2836,43,102,145
2,0,6,9,0,4,1,1,0.72,0.6364,0.26,0.3582,28,197,225
2,1,5,4,0,6,0,1,0.56,0.5303,0.88,0.1045,0,9,9
3,1,9,15,0,5,1,2,0.72,0.6667,0.48,0.1343,94,273,367
2,0,3,1,0,1,1,2,0.34,0.303,0.71,0.3881,1,6,7
3,1,7,20,0,2,1,3,0.7,0.6515,0.7,0.19399999999999998,55,397,452
1,1,1,4,0,6,0,3,0.16,0.19699999999999998,0.86,0.0896,0,1,1
4,0,12,5,0,6,0,2,0.26,0.2576,0.6,0.19399999999999998,2,7,9
4,1,10,20,0,4,1,1,0.64,0.6061,0.65,0.1045,50,391,441
3,1,9,12,0,0,0,1,0.66,0.6212,0.47,0.0,247,510,757
2,1,4,0,0,4,1,3,0.42,0.4242,0.77,0.0,5,20,25
4,0,12,9,0,6,0,1,0.28,0.2576,0.61,0.2836,15,134,149
3,1,9,16,0,2,1,1,0.76,0.7273,0.7,0.4179,61,397,458
3,0,7,22,0,3,1,1,0.78,0.7727,0.7,0.2239,25,144,169
1,0,3,19,0,0,0,1,0.36,0.3333,0.43,0.2836,21,58,79
3,1,6,2,0,2,1,1,0.56,0.5303,0.43,0.2836,2,7,9
2,1,3,6,0,3,1,1,0.36,0.3333,0.46,0.3582,4,111,115
2,1,6,15,0,1,1,1,0.8,0.7121,0.41,0.3582,72,187,259
1,0,2,16,0,6,0,3,0.22,0.2273,1.0,0.1343,8,63,71
3,1,9,3,0,4,1,1,0.44,0.4394,0.77,0.0,0,6,6
4,0,10,2,0,0,0,1,0.22,0.2121,0.87,0.2836,7,43,50
4,0,10,21,0,1,1,1,0.5,0.4848,0.77,0.1045,36,141,177
3,1,8,12,0,6,0,1,0.76,0.6667,0.37,0.19399999999999998,266,388,654
2,1,3,13,0,1,1,1,0.48,0.4697,0.29,0.6866,79,222,301
1,0,2,10,0,4,1,1,0.38,0.3939,0.54,0.19399999999999998,18,70,88
1,0,2,8,0,2,1,3,0.16,0.2273,0.93,0.0,3,132,135
2,1,4,23,0,4,1,1,0.42,0.4242,0.35,0.19399999999999998,8,86,94
2,1,5,23,0,6,0,1,0.7,0.6667,0.74,0.2537,36,114,150
4,1,10,20,0,2,1,2,0.3,0.2879,0.81,0.19399999999999998,5,76,81
3,1,8,17,0,2,1,2,0.78,0.7424,0.62,0.1343,125,743,868
1,0,2,2,0,4,1,1,0.18,0.1667,0.43,0.2537,0,2,2
4,1,10,21,0,5,1,1,0.6,0.5909,0.69,0.2239,47,220,267
4,1,10,14,0,3,1,2,0.72,0.6818,0.7,0.1642,56,195,251
3,1,7,1,0,5,1,1,0.78,0.7273,0.55,0.2239,7,22,29
4,1,11,20,0,0,0,1,0.36,0.3485,0.66,0.1642,9,120,129
2,1,6,12,0,6,0,1,0.68,0.6364,0.41,0.1045,254,349,603
2,0,6,8,0,4,1,2,0.76,0.7273,0.7,0.1045,32,400,432
4,1,10,19,0,3,1,2,0.56,0.5303,0.46,0.5821,32,534,566
4,1,12,1,0,2,1,2,0.44,0.4394,0.94,0.1343,0,15,15
2,0,4,1,0,3,1,1,0.26,0.2727,0.6,0.1343,0,2,2
3,0,6,6,0,0,0,1,0.6,0.6061,0.64,0.0,7,13,20
3,1,7,5,0,0,0,1,0.6,0.5455,0.88,0.0,0,6,6
4,1,11,23,0,1,1,2,0.32,0.3333,0.66,0.1045,8,57,65
1,0,1,7,0,3,1,3,0.22,0.2121,0.87,0.2985,1,29,30
1,0,1,18,0,5,1,1,0.12,0.1212,0.3,0.2537,1,119,120
4,1,11,18,0,5,1,1,0.42,0.4242,0.44,0.1045,46,450,496
2,1,6,14,0,1,1,1,0.62,0.6212,0.41,0.4925,84,186,270
3,0,8,22,0,1,1,1,0.62,0.6212,0.57,0.1343,23,119,142
3,0,8,16,0,4,1,1,0.8,0.7273,0.46,0.3582,49,196,245
4,1,11,13,0,6,0,1,0.32,0.303,0.36,0.3284,64,161,225
3,0,8,22,0,2,1,1,0.62,0.6212,0.57,0.1343,46,145,191
3,0,9,7,0,3,1,3,0.6,0.5455,0.88,0.0896,3,83,86
1,1,3,23,0,0,0,1,0.4,0.4091,0.5,0.1642,12,40,52
4,0,10,16,0,0,0,3,0.36,0.3485,0.87,0.19399999999999998,44,162,206
4,1,10,1,0,6,0,1,0.56,0.5303,0.83,0.2537,25,116,141
2,0,4,2,0,3,1,3,0.4,0.4091,1.0,0.2985,0,2,2
3,1,9,15,0,4,1,1,0.74,0.6970000000000001,0.66,0.19399999999999998,42,228,270
1,0,3,2,0,3,1,1,0.26,0.2727,0.52,0.1343,1,1,2
3,0,6,1,0,3,1,1,0.68,0.6364,0.79,0.2985,10,18,28
3,1,8,18,0,4,1,1,0.8,0.7121,0.36,0.0,109,723,832
4,0,11,22,0,3,1,1,0.34,0.303,0.61,0.4478,3,59,62
4,0,12,1,0,0,0,1,0.16,0.1515,0.59,0.2239,8,54,62
2,0,4,14,0,5,1,3,0.34,0.3182,0.87,0.2239,2,13,15
3,0,8,20,0,0,0,1,0.72,0.7121,0.84,0.1343,50,133,183
1,1,3,21,0,4,1,1,0.54,0.5152,0.68,0.2836,36,207,243
4,1,9,5,0,0,0,1,0.46,0.4545,0.59,0.2537,1,5,6
2,0,6,12,0,3,1,1,0.86,0.8333,0.53,0.0,32,137,169
3,1,7,15,0,5,1,1,0.86,0.7879,0.41,0.2239,81,242,323
1,0,3,7,0,0,0,3,0.42,0.4242,1.0,0.4478,0,5,5
4,1,10,4,0,2,1,1,0.42,0.4242,0.77,0.1045,1,6,7
4,1,11,17,0,5,1,1,0.38,0.3939,0.4,0.3284,57,581,638
2,1,5,4,0,5,1,1,0.46,0.4545,0.77,0.1642,0,11,11
2,1,5,3,0,2,1,3,0.58,0.5455,0.83,0.1343,1,5,6
2,0,4,15,0,6,0,3,0.34,0.303,0.76,0.3881,72,64,136
3,1,7,20,0,5,1,1,0.74,0.6667,0.48,0.1343,95,294,389
4,1,10,2,0,5,1,1,0.54,0.5152,0.73,0.0896,1,10,11
3,0,9,18,0,0,0,1,0.76,0.7273,0.66,0.19399999999999998,187,169,356
1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
2,0,6,1,0,1,1,1,0.6,0.5606,0.83,0.1343,9,5,14
1,1,1,7,0,0,0,2,0.3,0.3333,0.52,0.0,1,23,24
3,1,8,4,0,1,1,2,0.72,0.6970000000000001,0.74,0.1343,3,8,11
3,0,9,4,0,5,1,3,0.62,0.5455,0.94,0.1642,0,3,3
4,0,11,12,0,5,1,2,0.48,0.4697,0.55,0.4925,44,153,197
4,0,12,13,0,1,1,2,0.42,0.4242,0.71,0.0896,18,153,171
4,0,11,19,0,6,0,2,0.4,0.4091,0.71,0.0896,46,100,146
3,0,7,10,0,5,1,2,0.66,0.6212,0.61,0.1642,59,107,166
1,0,12,11,0,3,1,2,0.48,0.4697,0.82,0.4179,3,53,56
2,0,5,15,0,1,1,1,0.72,0.6667,0.51,0.0,55,110,165
4,1,12,6,0,3,1,2,0.26,0.2424,0.6,0.2537,2,126,128
1,0,3,16,0,1,1,1,0.4,0.4091,0.35,0.1045,27,80,107
1,1,2,11,0,3,1,2,0.26,0.2576,0.65,0.2239,5,97,102
1,1,1,6,0,0,0,2,0.14,0.1212,0.5,0.2836,1,7,8
2,1,4,12,0,3,1,1,0.54,0.5152,0.28,0.2836,49,220,269
2,1,4,2,0,0,0,2,0.36,0.3485,0.76,0.1642,20,61,81
1,1,1,9,0,3,1,1,0.24,0.2273,0.7,0.2537,18,218,236
3,0,7,9,0,4,1,1,0.68,0.6364,0.47,0.2836,29,195,224
1,1,2,19,0,5,1,2,0.44,0.4394,0.88,0.1045,6,227,233
3,0,7,14,0,5,1,2,0.8,0.7879,0.63,0.3582,53,163,216
4,0,10,11,0,5,1,1,0.36,0.3485,0.5,0.2239,40,128,168
